Region,Sub-Category,Sales,Quantity,Discount,Profit,Shipping Cost,gender,Order_Priority_Encoded,Order_year,Order_month,Order_day,Category_Furniture,Category_Office Supplies,Category_Technology
East,Accessories,581.4,7,0.0,91.9954,57.2,M,4.0,2012,7,31,0,0,1
Oceania,Chairs,581.4,9,0.1,-55.125,57.2,M,4.0,2013,2,5,1,0,0
Oceania,Phones,581.4,9,0.1,91.9954,57.2,M,2.0,2013,10,17,0,0,1
Central,Phones,581.4,5,0.1,-55.125,57.2,F,2.0,2013,1,28,0,0,1
Africa,Copiers,581.4,8,0.0,91.9954,57.2,M,4.0,2013,11,5,0,0,1
Oceania,Phones,581.4,5,0.1,91.9954,57.2,M,4.0,2013,6,28,0,0,1
Oceania,Chairs,581.4,4,0.0,91.9954,57.2,M,4.0,2011,11,7,1,0,0
Oceania,Tables,581.4,6,0.0,91.9954,57.2,M,3.0,2012,4,14,1,0,0
West,Binders,581.4,5,0.2,91.9954,57.2,F,1.0,2014,10,14,0,1,0
South,Tables,581.4,9,0.4,-55.125,57.2,M,4.0,2012,1,28,1,0,0
South,Supplies,581.4,5,0.0,83.281,57.2,M,3.0,2011,4,5,0,1,0
Central Asia,Tables,581.4,5,0.0,91.9954,57.2,M,3.0,2012,4,19,1,0,0
EMEA,Phones,581.4,4,0.0,91.9954,57.2,Unknown,4.0,2011,12,27,0,0,1
South,Chairs,581.4,7,0.0,91.9954,57.2,F,4.0,2012,11,13,1,0,0
North Asia,Appliances,581.4,9,0.0,91.9954,57.2,M,4.0,2013,6,6,0,1,0
Central,Appliances,581.4,4,0.1,91.9954,57.2,M,4.0,2014,7,31,0,1,0
South,Accessories,581.4,9,0.0,91.9954,57.2,M,4.0,2014,11,3,0,0,1
South,Appliances,581.4,9,0.0,91.9954,57.2,M,1.0,2014,9,8,0,1,0
Oceania,Copiers,581.4,9,0.1,28.404,57.2,M,4.0,2014,1,31,0,0,1
Africa,Appliances,581.4,6,0.0,91.9954,57.2,Unknown,3.0,2014,12,5,0,1,0
EMEA,Tables,581.4,4,0.0,91.9954,57.2,F,4.0,2012,8,8,1,0,0
Central,Phones,581.4,6,0.2,91.9954,57.2,F,3.0,2011,10,29,0,0,1
North Asia,Chairs,581.4,6,0.0,91.9954,57.2,M,4.0,2011,5,2,1,0,0
North,Appliances,581.4,9,0.0,91.9954,57.2,F,3.0,2013,2,27,0,1,0
North,Phones,581.4,4,0.0,91.9954,57.2,Unknown,4.0,2014,7,31,0,0,1
Central,Tables,581.4,8,0.2,91.9954,57.2,F,4.0,2014,9,5,1,0,0
North Asia,Tables,581.4,2,0.0,91.9954,57.2,M,4.0,2011,12,17,1,0,0
Central,Appliances,581.4,6,0.1,91.9954,57.2,M,4.0,2011,3,14,0,1,0
West,Phones,581.4,8,0.2,91.9954,57.2,F,3.0,2013,3,11,0,0,1
Central Asia,Chairs,581.4,4,0.0,91.9954,57.2,M,4.0,2012,2,25,1,0,0
Caribbean,Phones,581.4,5,0.2,-55.125,57.2,M,4.0,2011,12,28,0,0,1
Central,Machines,581.4,9,0.15,91.9954,57.2,M,4.0,2012,7,17,0,0,1
Central,Chairs,581.4,5,0.3,-55.125,57.2,M,3.0,2012,10,15,1,0,0
Oceania,Appliances,581.4,5,0.1,91.9954,57.2,M,4.0,2011,11,3,0,1,0
